jnrm.and.nic.in,Jawaharlal Nehru Rajkeeya  Mahavidyalaya (Id: C-6498)
www.pondiuni.edu.in,Pondicherry University Campus  II (Id: C-6535)
http://www.rmrc.res.in,Regional Medical Research Institute (I.C.M.R.) (Id: C-6575)
,Tagore Government College of Education (Id: C-6574)
www.zsi.gov.in,Zoological Survey of India (Id: C-6560)
www.andaman.gov.in,Mahatma Gandhi Govt. College (Id: C-6547)
www.ancol.andaman.gov.in,ANDAMAN COLLEGE (ANCOL) (Id: C-50934)
http://dbragpt.and.nic.in,Dr.B.R. Ambedkar Institute of Technology (Id: C-6528)
,"College of Agricultural Engineering, Madakasira (Id: C-26381)"
,"J.C.Diwakar Reddy Agricultural College, Tadiptri (Id: C-56609)"
,Sri Krishnadevaraya College of Agricultural Sciences (Id: C-56607)
,"Adarsha College of Nursing, Anantapur (Id: C-30633)"
,"Balaji College of Nursing, Anantapur (Id: C-30510)"
,"Divya College of Nursing, Anantapur (Id: C-30637)"
,"Government College of Nursing, Anantapur (Id: C-30521)"
http://gmcatp.in,"Government Medical College, Anantapur (Id: C-30409)"
,"Kasturi College of Physiotherapy, Anantapur (Id: C-30581)"
nirmalacollegeofnursing.com,"Nirmala College of Nursing, Anantapur (Id: C-30625)"
,"Sri Adisiva Sadguru Alli Saheb Sivaarvyula Ayurvedic Medicakal College, Thimmapuram, Guntakal (Id: C-55544)"
,"Sri Adi Siva Sadguru College of B.Sc. MLT, Guntakal (Id: C-30665)"
,"Sri Padmavathi College of Nursing, Guntakal (Id: C-30684)"
,Sri Pathanjali Maharshi Naturopathy and Yoga Medical College Guntakal (Id: C-55548)
,"Sri Sadguru Alli Sabeh Swamy College of B.Sc. MLT, Guntakal (Id: C-30546)"
www.srisaicollegeofnursing.com,"Sri Sai College of Nursing, Anantapur (Id: C-30494)"
,"Sri Venkata Padmavathi College of Nursing, Anantapur (Id: C-30485)"
,"Sri Venkata Padmavathi College of Nursing, Guntakal (Id: C-30542)"
www.srivignan.com,"Sri Vignan Nursing Academy College, Kadiri (Id: C-30400)"
www.drysrhu.edu.in,S S P G Horticultural Polytechnic (Id: C-56296)
www.alits.co.in,Anantha lakshmi Engineering college (Id: C-26940)
www.balajipharmacy.org,"Balaji  College of Pharmacy, Anantapur (Id: C-26897)"
www.bitit.org,"BIT Insitute of Technology,  (F3) Hindupur (Id: C-26997)"
www.critcolleges.com,"Chiranjeevi Reddy Institute of Engineering and Technology, Anantapur (Id: C-26909)"
www.gatesit.org,"GATES Institute of Technology,  Gooty (Id: C-27016)"
www.intellengg.ac.in,"Intell Engineering College, Anantapur (Id: C-26871)"
www.jntuacea.ac.in,"JNTUA College of Engineering, Anantapur (Id: C-26928)"
,"JNTUA MBA, Anantapur (Id: C-26865)"
www.jntua-otpri.ac.in,JNTUA-Oil Technological Research Center (Id: C-26966)
www.pvkkit.ac.in,"PVKK Institute of Technology, Anantapur (Id: C-26948)"
www.rimsatp.org,RAGHAVENDRA INSTITUTE OF MANAGEMENT SCIENCES (Id: C-54176)
www.riper.ac.in,"Raghavendra Institute of Pharmaceutical Education & Research, Anantapur (Id: C-26907)"
www.sanskrithibschool.com,"Sanskrithi School of Business, Puttaparthi (Id: C-26944)"
www.sseptp.org,"SANSKRITHI SCHOOL OF ENGINEERING, PUTTAPARTHI (Id: C-54957)"
www.ssss.ac.in,"Shri Sai Institute of Engineering and Technology, Vadiyampet,  Anantapur (Id: C-26975)"
www.ssss.ac.in,"Shri Shirdi Sai Institute of Science and Engineering(9A), Vadiyampet, Anantapur (Id: C-26960)"
scvrits@gmail.co.in,"Sir C.V. Raman Institute of Technology & Sciences, Tadipatri, (Id: C-26920)"
www.svmbac.org,"Sree Vyshnavi MBA College, Gooty (Id: C-26962)"
www.balajiablj.org,"SRI BALAJI PG COLLEGE (MBA), ALAMURU (P), RUDRAMPETA (Id: C-48564)"
www.balajisblj.org,"SRI BALAJI PG COLLEGE (MCA), ALAMURU (P), RUDRAMPETA (Id: C-48565)"
www.skdengg.ac.in,"Sri Krishna Devaraya Engineering College, Gooty (Id: C-26958)"
www.srit.ac.in,SRINIVASA RAMANUJAN INSTITUTE OF TECHNOLOGY (Id: C-26984)
www.sscet.co.in,"Sri Sai College of Engineering & Technology, Loluru. Anantapur (Id: C-26965)"
www.ssimedu.org,"Sri Srinivasa Institute of Management, Tadipatri (Id: C-26925)"
www.svitatp.org,"Sri Venkateswara Institute of Technology, Hampapuram,Anantapur (Id: C-26972)"
www.stmarkatp.org,"St. Mark Educational Institution Society Group of Institution, Anantapur (Id: C-26989)"
